rank,appId,title,url,releaseDate,priceText,finalPriceCents,discountPercent,reviewSummary,reviewPercent,reviewCount,platforms,imageUrl,scrapedAt,currentPlayers,developer,publisher,genres,categories,recommendationsTotal,metacriticScore,shortDescription,isFree,type,demandScore,qualityScore,commercialScore,momentumScore,opportunityScore,marketPosition,opportunityType,pricingPosition,audienceSignal,monetizationSignal,competitiveSignal,intelligenceTags,riskFlags,insightSummary,recommendedAction
1,730,Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/,"Aug 21, 2012",Free,1499,,Very Positive,86.0,2547500.0,"['windows', 'linux']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/942c04efaa5bc87afb6f2a97dbf17ac614c8a84d/capsule_231x87.jpg?t=1780435263,2026-06-03T01:57:12.683Z,584549.0,Valve,Valve,"['Action', 'Free To Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']",5108960.0,,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",True,game,100,96,88,90,95,Breakout leader,Benchmark competitor,Free-to-play,Community / multiplayer audience,Base game plus in-app purchases,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'massive-live-audience', 'healthy-community', 'free-to-play', 'iap-monetized', 'social-retention-loop']",[],"Counter-Strike 2 is a breakout leader, opportunity score 95/100, 86% positive from 2,547,500 reviews, 584,549 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
2,2483190,Forza Horizon 6,https://store.steampowered.com/app/2483190/Forza_Horizon_6/,"May 18, 2026",$69.99,6999,0.0,Very Positive,86.0,28514.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2483190/d0d73e4ff499d6cd6fb06f7af898414179997125/capsule_231x87.jpg?t=1779912021,2026-06-03T01:57:12.683Z,115727.0,Playground Games,Xbox Game Studios,"['Racing', 'Simulation', 'Sports']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Chat Text-to-speech', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Keyboard Only Option', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'HDR available', 'Family Sharing']",59117.0,,Discover the breathtaking landscapes of Japan in over 550 real-world cars and become a racing Legend in Forza Horizon's biggest open world driving adventure yet.,False,game,99,95,48,100,88,Breakout leader,Benchmark competitor,High-ticket,Community / multiplayer audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'massive-live-audience', 'healthy-community', 'social-retention-loop', 'fresh-release']",[],"Forza Horizon 6 is a breakout leader, opportunity score 88/100, 86% positive from 28,514 reviews, 115,727 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
3,359550,Tom Clancy's Rainbow Six Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/,"Dec 1, 2015",Free,999,,Very Positive,82.0,784204.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/359550/132c9c4fc6ebfa76f758aaced1644f91d0e10795/capsule_231x87_alt_assets_23.jpg?t=1780434375,2026-06-03T01:57:12.683Z,113428.0,Ubisoft Montreal,Ubisoft,"['Action', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",1242771.0,,"Tom Clancy's Rainbow Six Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",True,game,100,92,93,90,95,Breakout leader,Benchmark competitor,Free-to-play,Community / multiplayer audience,Base game plus in-app purchases,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'massive-live-audience', 'free-to-play', 'iap-monetized', 'social-retention-loop']",[],"Tom Clancy's Rainbow Six Siege is a breakout leader, opportunity score 95/100, 82% positive from 784,204 reviews, 113,428 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
4,1675200,Steam Deck,https://store.steampowered.com/app/1675200/Steam_Deck/,"Jan 17, 2025",$789.00,39900,0.0,,,,"['windows', 'mac', 'linux']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1675200/capsule_231x87.jpg?t=1763066602,2026-06-03T01:57:12.683Z,0.0,,,[],[],,,"Your games, everywhere Powerful, portable PC gaming, designed for comfort and a console-like user experience",False,hardware,45,35,40,70,47,Non-game / accessory listing,Catalog monitoring,High-ticket,General Steam audience,Paid upfront,Comparable baseline,['non-game-hardware'],"['review-data-missing-or-not-yet-established', 'not-a-standard-game']","Steam Deck is a non-game / accessory listing, opportunity score 47/100.","Keep for catalog awareness, but exclude from game competitor benchmarks."
5,2694490,Path of Exile 2,https://store.steampowered.com/app/2694490/Path_of_Exile_2/,"Dec 6, 2024",$14.99,1499,50.0,Mostly Positive,76.0,91422.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2694490/bae62b5ac9eeb900458e3f6c089bf5df3eb923c9/capsule_231x87.jpg?t=1780348251,2026-06-03T01:57:12.683Z,205197.0,Grinding Gear Games,Grinding Gear Games,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Early Access']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Full controller support', 'HDR available']",156733.0,,"Path of Exile 2 is a next generation Action RPG from Grinding Gear Games, featuring co-op for up to six players. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading.",False,game,100,86,83,90,91,Breakout leader,Benchmark competitor,Promotional discount,Community / multiplayer audience,Discount-driven sales,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'aggressive-discounting', 'massive-live-audience', 'social-retention-loop']",[],"Path of Exile 2 is a breakout leader, opportunity score 91/100, 76% positive from 91,422 reviews, 205,197 current players, 50% discount.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
6,3768760,007 First Light,https://store.steampowered.com/app/3768760/007_First_Light/,"May 26, 2026",$69.99,6999,0.0,Very Positive,91.0,9301.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3768760/244e00f17e6d0b5d1e88320dfbb5a12b483be700/capsule_231x87.jpg?t=1780344100,2026-06-03T01:57:12.683Z,25302.0,IO Interactive A/S,IO Interactive A/S,"['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Full controller support', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Subtitle Options', 'Steam Cloud', 'Family Sharing']",16408.0,86.0,"Earn the Number. 007 First Light is a thrilling espionage action-adventure game from IO Interactive. Follow James Bond as a young, resourceful and sometimes reckless recruit in MI6's training programme, and discover an origin story of the world’s most famous spy.",False,game,93,98,40,92,83,Standard competitor,Baseline market data,High-ticket,Solo / narrative audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['high-demand', 'loved-by-players', 'healthy-community', 'fresh-release']",[],"007 First Light is a standard competitor, opportunity score 83/100, 91% positive from 9,301 reviews, 25,302 current players.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
7,1118520,Paralives,https://store.steampowered.com/app/1118520/Paralives/,"May 25, 2026",$39.99,3999,0.0,Very Positive,91.0,8889.0,"['windows', 'mac']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1118520/13d15d732cf142a4546bf749ef587e5e6e6acd64/capsule_231x87.jpg?t=1779721278,2026-06-03T01:57:12.683Z,20910.0,Alex Massé and team,Paralives Studio,"['Simulation', 'Early Access']","['Single-player', 'Steam Workshop', 'Adjustable Text Size', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Mouse Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Family Sharing']",12413.0,,"Paralives is a life simulation game about building homes, lives and bonds. Through both hardship and success, where will your story take you?",False,game,92,99,50,92,85,Breakout leader,Benchmark competitor,Premium,Solo / narrative audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'healthy-community', 'fresh-release']",[],"Paralives is a breakout leader, opportunity score 85/100, 91% positive from 8,889 reviews, 20,910 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
8,1172470,Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/,"Nov 4, 2020",Free,0,,Mostly Positive,76.0,443328.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/b622efa206400324df2ab812786578dda4cc3537/capsule_231x87.jpg?t=1778502442,2026-06-03T01:57:12.683Z,77410.0,Respawn,Electronic Arts,"['Action', 'Adventure', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Chat Speech-to-text', 'Playable without Timed Input']",1578.0,88.0,"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",True,game,94,89,78,82,87,Breakout leader,Benchmark competitor,Free-to-play,Community / multiplayer audience,Base game plus in-app purchases,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'free-to-play', 'iap-monetized', 'social-retention-loop']",[],"Apex Legends™ is a breakout leader, opportunity score 87/100, 76% positive from 443,328 reviews, 77,410 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
9,2186990,Fatekeeper,https://store.steampowered.com/app/2186990/Fatekeeper/,"Jun 2, 2026",$7.99,799,20.0,Very Positive,80.0,1051.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2186990/ac1ab693d0187ec29cf7b132b7b820f2f51901a4/capsule_231x87_alt_assets_0.jpg?t=1780424266,2026-06-03T01:57:12.683Z,3598.0,Paraglacial,THQ Nordic,"['Action', 'RPG', 'Early Access']","['Single-player', 'Steam Cloud', 'Family Sharing']",1051.0,,"Venture into a handcrafted world where ruins whisper of past cataclysms. Master the art of sword and sorcery and forge your path with relics, spells and choices that shape who you become in this first-person RPG.",False,game,81,86,65,80,79,Standard competitor,Baseline market data,Budget,Solo / narrative audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['high-demand', 'loved-by-players', 'fresh-release']",[],"Fatekeeper is a standard competitor, opportunity score 79/100, 80% positive from 1,051 reviews, 3,598 current players, 20% discount.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
10,2288340,ACE COMBAT 8: WINGS OF THEVE,https://store.steampowered.com/app/2288340/ACE_COMBAT_8_WINGS_OF_THEVE/,"Oct 1, 2026",$69.99,6999,0.0,,,,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2288340/f72b0d0ef7d7beed96998f1ac0bdfb788a01845f/capsule_231x87.jpg?t=1780444630,2026-06-03T01:57:12.684Z,,Bandai Namco Aces Inc.,Bandai Namco Entertainment Inc.,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'HDR available', 'Family Sharing']",,,"Soar through the skies and rise above every challenge to earn your place among the elite. Engage in intense aerial combat to dominate the battlefield with powerful weapons. Experience a breathtaking campaign filled with high-stakes missions, hard choices, and deep squad connections.",False,game,45,35,56,70,50,Early momentum signal,Watchlist candidate,High-ticket,Community / multiplayer audience,Base game plus in-app purchases,Comparable baseline,"['iap-monetized', 'social-retention-loop']",['review-data-missing-or-not-yet-established'],"ACE COMBAT 8: WINGS OF THEVE is a early momentum signal, opportunity score 50/100.",Monitor daily; early movement can reveal emerging genre demand before the market gets crowded.
11,3065800,Marathon,https://store.steampowered.com/app/3065800/Marathon/,"Mar 5, 2026",$27.99,2799,30.0,Very Positive,86.0,32705.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3065800/9d48fde3699ddad29c58612dc53eb7e85731cff9/capsule_231x87.jpg?t=1780429141,2026-06-03T01:57:12.684Z,5156.0,Bungie,Bungie,['Action'],"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Mouse Only Option', 'Playable without Timed Input', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Touch Only Option', 'Partial Controller Support', 'Family Sharing']",40440.0,,Scavenge the lost colony of Tau Ceti IV as a bio-cybernetic Runner in a PvPvE survival extraction FPS from the creators of Halo and Destiny.,False,game,94,95,68,60,82,Standard competitor,Baseline market data,Promotional discount,Community / multiplayer audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['high-demand', 'loved-by-players', 'social-retention-loop']",[],"Marathon is a standard competitor, opportunity score 82/100, 86% positive from 32,705 reviews, 5,156 current players, 30% discount.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
12,1962700,Subnautica 2,https://store.steampowered.com/app/1962700/Subnautica_2/,"May 14, 2026",$29.99,2999,0.0,Very Positive,93.0,62096.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1962700/a5668b4e7176e657e2f1c70667df989ba27f64b5/capsule_231x87.jpg?t=1780372044,2026-06-03T01:57:12.684Z,28797.0,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"['Action', 'Adventure', 'Early Access']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Steam Cloud', 'Family Sharing']",100784.0,,"Subnautica 2 is an underwater survival adventure set on an all-new alien world, developed by Unknown Worlds. Play alone or with friends in 4-player co-op. Adapt to survive by building custom bases and crafting tools. Explore the unknown to uncover the mysteries hidden within the depths.",False,game,98,100,68,82,89,Breakout leader,Benchmark competitor,Mid-market,Community / multiplayer audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'healthy-community', 'social-retention-loop', 'fresh-release']",[],"Subnautica 2 is a breakout leader, opportunity score 89/100, 93% positive from 62,096 reviews, 28,797 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
13,230410,Warframe,https://store.steampowered.com/app/230410/Warframe/,"Mar 25, 2013",Free,0,,Very Positive,91.0,294203.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/80dd2d83df77e9037b14b0076713d2e63666192d/capsule_231x87.jpg?t=1778595605,2026-06-03T01:57:12.684Z,48677.0,Digital Extremes,Digital Extremes,"['Action', 'RPG', 'Free To Play']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available']",2882.0,69.0,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,True,game,95,96,78,72,87,Breakout leader,Benchmark competitor,Free-to-play,Community / multiplayer audience,Base game plus in-app purchases,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'healthy-community', 'free-to-play', 'iap-monetized', 'social-retention-loop']",[],"Warframe is a breakout leader, opportunity score 87/100, 91% positive from 294,203 reviews, 48,677 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
14,2215200,LEGO® Batman™: Legacy of the Dark Knight,https://store.steampowered.com/app/2215200/LEGO_Batman_Legacy_of_the_Dark_Knight/,"May 22, 2026",$69.99,6999,0.0,Overwhelmingly Positive,96.0,4640.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2215200/4933722fc48c284f30ea2d0f9eb932c0ab3de1b5/capsule_231x87.jpg?t=1779824566,2026-06-03T01:57:12.684Z,9381.0,TT Games,Warner Bros. Games,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'HDR available', 'Family Sharing']",6047.0,,"Rise as the Dark Knight and experience the essential Batman story in a bold, action-packed adventure with hard-hitting combat, an open-world Gotham City, and the signature LEGO charm that fans know and love.",False,game,88,100,48,70,79,Standard competitor,Baseline market data,High-ticket,Community / multiplayer audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['high-demand', 'loved-by-players', 'social-retention-loop', 'fresh-release']",[],"LEGO® Batman™: Legacy of the Dark Knight is a standard competitor, opportunity score 79/100, 96% positive from 4,640 reviews, 9,381 current players.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
15,2767030,Marvel Rivals,https://store.steampowered.com/app/2767030/Marvel_Rivals/,"Dec 5, 2024",Free,0,,Mostly Positive,77.0,282806.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/f77a7018444fbf8bd96dd79de42b4f5d6603d236/capsule_231x87.jpg?t=1778835753,2026-06-03T01:57:12.684Z,86748.0,NetEase Games,NetEase Games,"['Action', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",,,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!",True,game,84,87,78,72,81,Commercially aggressive,Pricing/monetization benchmark,Free-to-play,Community / multiplayer audience,Base game plus in-app purchases,Strong incumbent - study positioning and retention loops,"['high-demand', 'loved-by-players', 'free-to-play', 'iap-monetized', 'social-retention-loop']",[],"Marvel Rivals is a commercially aggressive, opportunity score 81/100, 77% positive from 282,806 reviews, 86,748 current players.","Compare discount depth, price tier, and monetization model against similar titles."
16,1943950,Escape the Backrooms,https://store.steampowered.com/app/1943950/Escape_the_Backrooms/,"Oct 23, 2025",$7.99,799,20.0,Very Positive,89.0,37731.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1943950/28626087167f428b92a79d4c319e19707fe22dae/capsule_231x87.jpg?t=1780394865,2026-06-03T01:57:12.684Z,9821.0,Fancy Games,Secret Mode,"['Action', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Partial Controller Support', 'Steam Cloud', 'HDR available', 'Family Sharing']",116554.0,,Escape the Backrooms is a 1-4 player co-op horror exploration game. Traverse 30+ eerie backrooms levels while avoiding entities and other dangers. Try to escape but be warned: survival isn't guaranteed.,False,game,96,98,73,60,85,Breakout leader,Benchmark competitor,Budget,Community / multiplayer audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'social-retention-loop']",[],"Escape the Backrooms is a breakout leader, opportunity score 85/100, 89% positive from 37,731 reviews, 9,821 current players, 20% discount.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
17,3892270,Gamble With Your Friends,https://store.steampowered.com/app/3892270/Gamble_With_Your_Friends/,"May 1, 2026",$7.99,799,0.0,Very Positive,88.0,5975.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3892270/162b293e92bf8be850967a85c9916daa6f68591c/capsule_231x87.jpg?t=1778274309,2026-06-03T01:57:12.684Z,11228.0,TEAM GWYF,TENSTACK,"['Adventure', 'Indie', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Steam Cloud', 'Family Sharing']",8592.0,,"An online 1-6 player co-op ""casino crawler"" where you and your friends share one bank account and one massive debt. Gamble, buy sketchy items, make terrible decisions, and climb an ominous casino tower to hit your loan shark’s daily quota in 5 minutes - or face the consequences.",False,game,89,96,73,82,86,Breakout leader,Benchmark competitor,Budget,Community / multiplayer audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'healthy-community', 'social-retention-loop', 'fresh-release']",[],"Gamble With Your Friends is a breakout leader, opportunity score 86/100, 88% positive from 5,975 reviews, 11,228 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
18,381210,Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/,"Jun 14, 2016",$19.99,1999,0.0,Mostly Positive,79.0,255985.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/381210/2c90430e51332137ca52f85da8cfc83e40755d7e/capsule_231x87_alt_assets_6.jpg?t=1778880603,2026-06-03T01:57:12.684Z,54038.0,Behaviour Interactive Inc.,Behaviour Interactive Inc.,['Action'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Color Alternatives', 'Custom Volume Controls', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",660093.0,,"10 years of horror. 10 years of jump scares and close calls. 10 years of brutal sacrifices and thrilling escapes. Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits.",False,game,98,89,68,72,85,Breakout leader,Benchmark competitor,Mid-market,Community / multiplayer audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'social-retention-loop']",[],"Dead by Daylight is a breakout leader, opportunity score 85/100, 79% positive from 255,985 reviews, 54,038 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
19,1144200,Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/,"Dec 13, 2023",$24.99,2499,50.0,Mostly Positive,76.0,146324.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1144200/capsule_231x87.jpg?t=1779907126,2026-06-03T01:57:12.684Z,9697.0,VOID Interactive,VOID Interactive,"['Action', 'Adventure', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",254203.0,,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.",False,game,96,86,83,60,84,Commercially aggressive,Pricing/monetization benchmark,Promotional discount,Community / multiplayer audience,Discount-driven sales,Strong incumbent - study positioning and retention loops,"['high-demand', 'loved-by-players', 'aggressive-discounting', 'social-retention-loop']",[],"Ready or Not is a commercially aggressive, opportunity score 84/100, 76% positive from 146,324 reviews, 9,697 current players, 50% discount.","Compare discount depth, price tier, and monetization model against similar titles."
20,1875580,Mina the Hollower,https://store.steampowered.com/app/1875580/Mina_the_Hollower/,"May 28, 2026",$19.99,1999,0.0,Very Positive,88.0,2098.0,"['windows', 'mac', 'linux']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1875580/5f701d40d2fdba63cec85579f481b5abad2c92a9/capsule_231x87.jpg?t=1780266529,2026-06-03T01:57:12.684Z,9627.0,Yacht Club Games,Yacht Club Games,"['Action', 'Adventure']","['Single-player', 'Steam Achievements', 'Full controller support', 'Custom Volume Controls', 'Keyboard Only Option', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",2735.0,,"Take control of Mina, a renowned Hollower hurtled into a desperate mission to rescue a cursed island. Whip foes, burrow through the ground, and explore a pixel-perfect world in Mina the Hollower, a brand new game from the developers who brought you Shovel Knight!",False,game,85,95,60,70,80,Standard competitor,Baseline market data,Mid-market,Solo / narrative audience,Paid upfront,Strong incumbent - study positioning and retention loops,"['high-demand', 'loved-by-players', 'fresh-release']",[],"Mina the Hollower is a standard competitor, opportunity score 80/100, 88% positive from 2,098 reviews, 9,627 current players.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
21,1085660,Destiny 2,https://store.steampowered.com/app/1085660/Destiny_2/,"Oct 1, 2019",Free,0,,Mostly Positive,78.0,380557.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1085660/capsule_231x87.jpg?t=1765904462,2026-06-03T01:57:12.684Z,27825.0,Bungie,Bungie,"['Action', 'Adventure', 'Free To Play']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Color Alternatives', 'Custom Volume Controls', 'Subtitle Options', 'Partial Controller Support']",135704.0,83.0,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",True,game,97,89,78,72,86,Breakout leader,Benchmark competitor,Free-to-play,Community / multiplayer audience,Base game plus in-app purchases,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'free-to-play', 'iap-monetized', 'social-retention-loop']",[],"Destiny 2 is a breakout leader, opportunity score 86/100, 78% positive from 380,557 reviews, 27,825 current players.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
22,2183900,"Warhammer 40,000: Space Marine 2",https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/,"Sep 9, 2024",$17.99,1799,70.0,Very Positive,86.0,91944.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2183900/7839e72c1803cadbcd21dc8df4760bc7bcf70354/capsule_231x87_alt_assets_12.jpg?t=1780329761,2026-06-03T01:57:12.684Z,17202.0,Saber Interactive,Focus Entertainment,"['Action', 'Adventure', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Family Sharing']",157700.0,82.0,Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,False,game,97,95,93,72,91,Breakout leader,Benchmark competitor,Deep discount,Community / multiplayer audience,Discount-driven sales,Strong incumbent - study positioning and retention loops,"['tier-1-opportunity', 'high-demand', 'loved-by-players', 'aggressive-discounting', 'healthy-community', 'social-retention-loop']",[],"Warhammer 40,000: Space Marine 2 is a breakout leader, opportunity score 91/100, 86% positive from 91,944 reviews, 17,202 current players, 70% discount.","Use as a benchmark for capsule, pricing, tags, update cadence, and review themes."
